Block,Building_Name,LATITUDE,LONGITUDE,Postal,Street,X_ADDR,Y_ADDR
20,THE SINGAPORE MINT,1.1752456350084766,103.88902140832275,608928,TEBAN GARDENS CRESCENT,17578.2870607171,34199.5157918911
1M,NIL,1.2664793717531886,103.84601375783173,168641,YONG SIAK STREET,27666.3791146148,29412.8778848071
97,NIL,1.3974111395515583,103.91130531867147,488438,JALAN PELATOK,42144.2836716017,36678.8822342847
199,KEW GREEN,1.3861042486884967,103.88159368527963,466125,KEW CRESCENT,40893.935723085,33372.3989455607
30,NIL,1.2346634739785558,103.87424991201624,276366,TAMAN WARNA,24148.3740147436,32555.4046815597
72,WOODLANDS PARK,1.1954023830545388,103.98012489747181,739664,JALAN KASAU,19807.4892835822,44338.8895588107
13,DEFU INDUSTRIAL ESTATE,1.3297840829685794,103.90565375038199,539169,DEFU LANE 11,34666.4022253854,36050.1624565367
10A,NIL,1.3207753429987408,103.93038538895671,548810,JALAN ARIF,33670.3549493179,38802.5814347956
10,NIL,1.3202399855271265,103.90653827113377,535823,ROCHDALE ROAD,33611.0669308528,36148.6317745652
37,HOOVER PARK,1.2079981761678176,103.90631960143429,597769,LORONG PISANG RAJA,21199.938605356,36124.644760685
30,HENRY PARK,1.218631835420104,103.87702032533731,279070,GROVE DRIVE,22375.6834199335,32863.763579445
24,NIL,1.4161024567605576,103.95434709581943,507761,TURNHOUSE ROAD,44211.2825241126,41468.7556980234
394,NIL,1.3467033185895667,103.87821796516805,428078,JOO CHIAT PLACE,36537.1728011491,32996.805987319
5,ADELPHI PARK ESTATE,1.2646334813799571,103.9173575805327,579054,DAFFODIL DRIVE,27462.4180036569,37352.9187226966
1A,NIL,1.3447682740623232,103.89222779903798,416396,TEO KIM ENG ROAD,36323.2385408953,34555.9514773414
46,NIL,1.2571860376552637,103.88413251711313,259374,EVANS ROAD,26638.8219594592,33655.2298865151
5023,ANG MO KIO INDUSTRIAL PARK 2,1.2997703547648956,103.93428092862241,569526,ANG MO KIO INDUSTRIAL PARK 2,31347.7450325387,39236.2107093055
12A,NIL,1.2308540086381101,103.87672996759103,268723,FORD AVENUE,23727.1474400479,32831.4264763612
515,NIL,1.1791678753749784,103.9532227774734,680515,CHOA CHU KANG STREET 51,18012.2132944139,41344.8763168603
45C,NIL,1.4068739423695822,103.96587008137537,508294,PULAU UBIN,43190.9073864007,42751.1607405078
429,UOB SPC MACPHERSON,1.316883777959406,103.89533115084654,368140,MACPHERSON ROAD,33239.9206118314,34901.3981896974
35,SENNETT ESTATE,1.310520883959985,103.89453357927616,349367,JALAN WANGI,32536.3419054141,34812.653399745
26A,LITTLE INDIA CONSERVATION AREA,1.2893092860573305,103.87037006452562,209736,CUFF ROAD,30190.8194881761,32123.515513435
19,KIM LIN PARK,1.2609671766554176,103.8653314693958,248869,LENGKOK MERAK,27056.88758808,31562.801569093
67,SAINT NICHOLAS VIEW,1.2687886556684156,103.93657928776463,568023,SAINT NICHOLAS VIEW,27921.9535546247,39492.136257926
284A,NIL,1.3431305538396952,103.88114628789846,419763,CHANGI ROAD,36142.1207983196,33322.7037894428
277A,TELOK AYER CONSERVATION AREA,1.2814934259523583,103.84550174614415,058826,SOUTH BRIDGE ROAD,29326.5552902529,29355.8869944289
32,UNION TROVE,1.3186305679495203,103.87828469886895,389817,ALJUNIED ROAD,33433.0310441107,33004.28935281
121,HONG JOO PARK,1.3497190323481156,103.87823004775471,425949,LORONG J TELOK KURAU,36870.6351474943,32998.1444980949
14D,FAR EAST PLAZA,1.2701216862498836,103.87088936396128,228217,SCOTTS ROAD,28069.15429617,32181.3401959613
200,UOB BISHAN MRT STATION,1.2844943693361655,103.91419665925905,579827,BISHAN ROAD,29658.5232457062,37001.0624015741
15,NIL,1.2307019274491295,103.89436396544761,279985,ANAMALAI AVENUE,23710.3695031889,34793.9854391795
252A,JALAN KAYU ESTATE,1.3097555078868974,103.96100549996083,799478,JALAN KAYU,32451.9892117763,42210.3660049085
488,NIL,1.350429307384809,103.88265044694431,419898,CHANGI ROAD,36949.1832893593,33490.0840443913
18,NIL,1.2006525152219443,103.91856106214135,596168,LORONG SESUAI,20387.732615307,37487.083800355
1,HONG KONG PARK,1.221482850240277,103.90029135514085,589510,DIN PANG AVENUE,22690.9871553434,35453.6941537485
2,LITTLE INDIA CONSERVATION AREA,1.2877424442084666,103.86994678081882,219780,BUFFALO ROAD,30017.5654888423,32076.410116272
129,WOODHAVEN,1.2192002265661432,103.993112417481,737837,WOODGROVE AVENUE,22439.0212946208,45784.191713836
136,NIL,1.2583743503848386,103.96765590914622,786460,SPRINGSIDE AVENUE,26770.5492537087,42950.794468103
30,NIL,1.2756850426722155,103.88332848338908,309195,GENTLE ROAD,28684.3451326983,33565.7071791142
42,PEACH GARDEN,1.3324574294243512,103.86193054593818,437632,PEACH GARDEN,34961.9077634495,31184.2142294906
95,GOLDEN HILL ESTATE,1.2976606806223796,103.91707614777715,568404,MEI HWAN DRIVE,31114.3978863712,37321.4779756833
20,SUNRISE VILLA,1.2935523288395658,103.95052184085037,806617,SUNRISE CLOSE,30660.2643835293,41043.7138439789
36,HOOVER PARK,1.2081568951588826,103.9072403672704,597981,LORONG PISANG ASAM,21217.491705277,36227.1209241301
49,PEAKVIEW ESTATE,1.3800232284389784,103.89662744932448,488638,JALAN PARI DEDAP,40221.5663649468,35045.4822066911
28,HILLVIEW GARDEN ESTATE,1.197765031492429,103.92364659797127,668621,JALAN ZAMRUD,20068.467557529,38053.0907978136
64,TAI KENG VILLAS,1.3186677435853715,103.91035197040802,534279,JALAN KELICHAP,33437.2291529169,36573.0646367762
463,SEMBAWANG RIVERLODGE,1.2505913083051825,104.01813338824309,750463,SEMBAWANG DRIVE,25910.2799453475,48568.6584937908
16,SIGLAP PARK,1.3663020477308283,103.87828160104706,455069,WOO MON CHEW ROAD,38704.3010797901,33003.8477126583
96,SHAMROCK PARK,1.2313166634904282,103.88877665384791,267665,NAMLY AVENUE,23778.3302675653,34172.1495392378
269C,COMPASSVALE ARCADIA,1.3329556063380141,103.94660256917643,543269,COMPASSVALE LINK,35017.2649999419,40607.3346626144
725,HORIZON GREEN,1.2694007257533468,103.93867346930116,567774,ANG MO KIO AVENUE 2,27989.6426033108,39725.2003379073
208,NIL,1.3101549706293947,103.91738917481301,550208,SERANGOON CENTRAL,32495.954789917,37356.2690252792
9A,NIL,1.3300751217454003,103.8717801066042,437199,SWANAGE ROAD,34698.4992428226,32280.3721050024
356,TECK GUAN VILLE,1.3752279743935296,103.87726241111494,466467,UPPER EAST COAST ROAD,39691.2828223221,32890.4059127327
29H,BARKER TERRACES,1.271833060128635,103.88526966661,307501,BARKER ROAD,28258.4169412879,33781.7541748993
38,MIDVIEW CITY,1.269809871453811,103.92319670749367,573957,SIN MING LANE,28034.8188705323,38002.7509941794
230,COMMONWEALTH TOWERS,1.2420312433258218,103.85938707609547,149739,COMMONWEALTH AVENUE,24963.0428500911,30901.2546193358
19,NIL,1.3486133292026303,103.88137988772533,428229,JALAN WAKAFF,36748.3787961537,33348.6889745351
858C,TAMPINES GREENSPRING,1.3765505521717114,103.91777039917393,523858,TAMPINES WALK,39837.6481069801,37398.442103155
100,CANOSSIAN CONVENT KINDERGARTEN,1.2000333420405347,103.90889129924626,598454,JALAN MERBOK,20319.2359865475,36410.8862980455
5,SWISS CLUB PARK,1.2264101283597164,103.89796006452663,288096,SWISS CLUB ROAD,23235.8138587857,35194.2213487756
978D,NIL,1.3158861700440616,103.943143470239,536978,BUANGKOK CRESCENT,33129.7933982667,40222.4559107199
11,NIL,1.3188947887968725,103.87760593494143,388293,LORONG 25 GEYLANG,33462.2458836026,32928.7490312904
180,ALANA,1.291986592511946,103.95168876688008,804567,SUNRISE TERRACE,30487.1389928591,41173.5909169205
33,TANJONG PAGAR CONSERVATION AREA,1.2808580194329904,103.84223559329347,078973,TRAS STREET,29256.2938261656,28992.3910899013
20,LIM CHU KANG CAMP II,1.134310873057215,103.94035336252841,708976,OLD LIM CHU KANG ROAD,13052.0953769619,39912.7451538779
36,SENNETT ESTATE,1.309697652136736,103.89480439099184,348977,KEE CHOE AVENUE,32445.3138501113,34842.7944395393
92,MACPHERSON GARDEN ESTATE,1.31790160075881,103.89644793423504,368683,JALAN MULIA,33352.4694154337,35025.682556482
14,JADE VINE GARDENS,1.317528530665566,103.92888340127523,548235,KANG CHOO BIN WALK,33311.3321382273,38635.4386019111
543,QUESTA @ DUNMAN,1.3331867416139076,103.87340641703223,439219,DUNMAN ROAD,35042.5691856695,32461.3581515811
21,PASIR RIS BEACH PARK,1.3818941890192917,103.94423132258297,519688,PASIR RIS AVENUE,40428.6420211624,40343.1910234671
53,CABANA,1.2921282876424622,103.95132022656858,806394,SUNRISE TERRACE,30502.805035335,41132.5747419167
5,SELETAR HILLS ESTATE,1.304857126892292,103.94667759688124,808776,JALAN LEBAT DAUN,31910.2737241127,40615.8259519618
51,MACPHERSON GARDEN ESTATE,1.3165441893404208,103.8968799543307,368469,JALAN SETIA,33202.3749638405,35073.7660332713
20,WESTWOOD PARK,1.1352890402143971,103.91405280191209,648838,WESTWOOD DRIVE,13160.1610986916,36985.543037748
33,SIGLAP GARDEN,1.3624161898761284,103.87558159680493,456130,SIGLAP GARDENS,38274.6171461558,32703.3769540098
259,NIL,1.2784806023608506,103.92320686164452,570259,BISHAN STREET 22,28993.5846473025,38003.8476334959
62,FRANKEL ESTATE,1.3574499257787818,103.87993577867098,456178,SIGLAP DRIVE,37725.4817346958,33187.9569006003
29,BOAT QUAY CONSERVATION AREA,1.2849435446967572,103.85145596730408,058665,SOUTH BRIDGE ROAD,29708.055529804,30018.5405114014
39,NIL,1.3446352793889476,103.87746642167504,425820,LORONG J TELOK KURAU,36308.4980025571,32913.1716134697
611A,NIL,1.245467983433447,103.88778316919773,269713,BUKIT TIMAH ROAD,25343.1079937313,34061.5485106558
22,THE WINDERMERE,1.1865600364730728,103.96051655349281,689094,CHOA CHU KANG STREET 64,18829.6376967309,42156.6093999315
566A,NIL,1.2940257339872987,103.87798014122293,218181,SERANGOON ROAD,30712.3537068916,32970.4433907364
82B,NIL,1.3198602522215246,103.8796261234048,388261,LORONG 25A GEYLANG,33569.0059958547,33153.574287178
35,NIL,1.3380171758849506,103.8690230183987,428504,FOWLIE ROAD,35576.6864711121,31973.5237913802
22,CHANCERY LODGE,1.2739715317050329,103.88870174157049,309660,CHANCERY HILL ROAD,28494.8861089023,34163.7126111872
45,NIL,1.3120593780665268,103.92235216072974,548989,HILLSIDE DRIVE,32706.553699973,37908.5957718696
637,NIL,1.1332728370546599,103.90492433526086,640637,JURONG WEST STREET 61,12937.1930862861,35969.5695307646
132,NIL,1.2350079712888156,103.88588972528295,269356,CORONATION ROAD WEST,24186.4895180641,33850.8436323889
201,CABANA,1.2914484851748191,103.95133852190871,805353,SUNRISE TERRACE,30427.6359203681,41134.6143499985
387A,NIL,1.3245050311813786,103.8754481839264,399787,GUILLEMARD ROAD,34082.5936883939,32688.6019101702
6,OPERA ESTATE,1.3645020984831988,103.88031973463367,456903,LAKME STREET,38505.2761321524,33230.6715937797
13,NIL,1.3166923094300198,103.9217769200862,549085,HIGHLAND TERRACE,33218.8377807206,37844.5587370265
6A,MULTI STOREY CAR PARK,1.297734964142481,103.88079165548488,331006,BOON KENG ROAD,31122.5070726937,33283.3328609616
2,NIL,1.4084104953901844,103.93424071544902,508913,LOYANG LANE,43360.6358617954,39231.2353792135
3,CAPITOL PARK,1.253800330910043,103.89087158071511,299006,JALAN SENI,26264.4634506665,34405.2482155245
42,NIL,1.302890632675282,103.92375490956903,554789,CHUAN DRIVE,31692.7253455315,38064.7450914606
310,BEDOK SHOPPING COMPLEX,1.38555338406554,103.89433462861241,469472,BEDOK ROAD,40833.0565772504,34790.3042469993
23,NIL,1.3861595754642553,103.89353503108815,489019,JALAN CHEMPAKA PUTEH,40900.0839072773,34701.3175553232